repo,model,auc_roc,auc_pr,precision@10,recall@10,f1@10
psf/requests,composite,0.1818,0.8852,0.9,0.8182,0.8571
psf/requests,pagerank,0.4545,0.9444,0.9,0.8182,0.8571
psf/requests,betweenness,0.7273,0.9545,0.9,0.8182,0.8571
psf/requests,cochange_degree,0.3636,0.9394,0.9,0.8182,0.8571
psf/requests,semantic_degree,0.3636,0.9394,0.9,0.8182,0.8571
psf/requests,bug_keyword_density,0.1818,0.8985,0.9,0.8182,0.8571
pallets/flask,composite,0.75,0.5549,0.4,1.0,0.5714
pallets/flask,pagerank,0.5577,0.3479,0.2,0.5,0.2857
pallets/flask,betweenness,0.75,0.6,0.4,1.0,0.5714
pallets/flask,cochange_degree,0.7308,0.5597,0.3,0.75,0.4286
pallets/flask,semantic_degree,0.5962,0.5458,0.2,0.5,0.2857
pallets/flask,bug_keyword_density,0.6154,0.3238,0.3,0.75,0.4286
scikit-learn/scikit-learn,composite,0.754,0.8018,0.9,0.0584,0.1098
scikit-learn/scikit-learn,pagerank,0.488,0.5781,0.2,0.013,0.0244
scikit-learn/scikit-learn,betweenness,0.5,0.5811,0.4,0.026,0.0488
scikit-learn/scikit-learn,cochange_degree,0.7495,0.8303,1.0,0.0649,0.122
scikit-learn/scikit-learn,semantic_degree,0.7042,0.7774,0.9,0.0584,0.1098
scikit-learn/scikit-learn,bug_keyword_density,0.6794,0.6661,0.6,0.039,0.0732
